;adresas;kaina;kaina_kv;plotas;kambariai
159;Vilnius, Žemieji Paneriai, Jankiškių g.;70000.0;2059.0;34.0;2.0
160;Palanga, Vaivorykštės g.;72500.0;2553.0;28.4;2.0
161;Vilnius, Antakalnis, Rokantiškių g.;95700.0;2393.0;40.0;2.0
162;Vilnius, Naujininkai, Meistrų g.;48500.0;1940.0;25.0;1.0
163;Vilnius, Pašilaičiai, Perkūnkiemio g.;104900.0;2498.0;42.0;2.0
164;Druskininkų m., Vilniaus al.;249615.0;4300.0;58.05;2.0
165;Šiauliai, Gytariai, Kviečių g.;74600.0;1157.0;64.47;3.0
166;Šiauliai, Dainiai, Lyros g.;73800.0;1142.0;64.61;3.0
167;Vilnius, Naujamiestis, Vytenio g.;220000.0;2734.0;80.48;3.0
168;Vilnius, Šnipiškės, Rinktinės g.;44800.0;1896.0;23.63;1.0
169;Vilnius, Bajorai, Bajorų kel.;149900.0;3885.0;38.58;2.0
170;Kaunas, Petrašiūnai, T. Masiulio g.;110600.0;1964.0;56.3;3.0
171;Druskininkų m., V. Kudirkos g.;116000.0;2896.0;40.05;1.0
172;Akmenės r. sav., Naujosios Akmenės m., Nepriklausomybės al.;26000.0;565.0;46.0;2.0
173;Palanga, Vanagupės g.;155000.0;3946.0;39.28;1.0
174;Palanga, Šventoji, Mėguvos g.;109999.0;2275.0;48.35;2.0
175;Kaunas, Aleksotas, Bitininkų g.;289999.0;3671.0;79.0;3.0
176;Vilnius, Pašilaičiai, Eitminų g.;165000.0;2686.0;61.44;3.0
177;Kaunas, Senamiestis, Šv. Gertrūdos g.;255000.0;2260.0;112.81;3.0
178;Druskininkų m., Veisiejų g.;81000.0;1136.0;71.3;3.0
179;Kaunas, Šilainiai, J. Grušo g.;91000.0;2459.0;37.0;1.0
180;Širvintų m., Zibalų g.;25000.0;1058.0;23.63;1.0
181;Klaipėda, Centras, J. Zauerveino g.;265000.0;3136.0;84.5;3.0
182;Vilnius, Naujamiestis, Mindaugo g.;430000.0;5890.0;73.0;3.0
183;Vilnius, Naujamiestis, Vinco Kudirkos g.;287000.0;3706.0;77.45;3.0
184;Rietavo m., Daržų g.;89900.0;1404.0;64.01;3.0
185;Neringos m., Vilų g.;110000.0;7161.0;15.36;1.0
186;Utenos m., Aukštakalnis, Aukštakalnio g.;155000.0;2686.0;57.7;2.0
187;Kaunas, Rokai, Girmuonio g.;91000.0;1287.0;70.69;4.0
188;Klaipėda, Žvejybos uostas, Minijos g.;95000.0;2111.0;45.0;2.0
189;Kaunas, Dainava, Partizanų g.;69500.0;1565.0;44.4;2.0
190;Vilnius, Šeškinė, Fabijoniškių g.;199000.0;3980.0;50.0;2.0
191;Vilnius, Žemieji Paneriai, Vaduvos g.;78000.0;1926.0;40.5;1.0
192;Kėdainių m., Sodų g.;23000.0;688.0;33.45;2.0
193;Kaunas, Žaliakalnis, P. Višinskio g.;72000.0;2118.0;34.0;2.0
194;Kėdainių m., Pavasario g.;52000.0;1042.0;49.9;2.0
195;Visagino m., Taikos pr.;19900.0;552.0;36.08;1.0
196;Šiauliai, Rėkyva, Energetikų g.;62000.0;1161.0;53.42;2.0
197;Klaipėda, Žvejybos uostas, Minijos g.;16500.0;807.0;20.44;1.0
198;Elektrėnų m., Šviesos g.;89500.0;1462.0;61.2;3.0
199;Širvintų m., Kalnalaukio g.;53000.0;1023.0;51.82;2.0
200;Vilnius, Pilaitė, I. Simonaitytės g.;196000.0;2781.0;70.48;2.0
201;Kaišiadorių r. sav., Pravieniškių k., Pravieniškių g.;24700.0;682.0;36.2;1.0
202;Šilutės r. sav., Armalėnų k., Plytinės g.;28000.0;490.0;57.16;3.0
203;Kelmės m., J. Janonio g.;50000.0;1000.0;50.0;2.0
204;Švenčionių r. sav., Pabradės m., Arnionių g.;55000.0;1082.0;50.81;3.0
205;Palanga, Palanga, Užkanavės g.;275000.0;5896.0;46.64;3.0
206;Vilnius, Justiniškės, Rygos g.;109000.0;2124.0;51.33;2.0
207;Kretingos m., Topolių aklg.;76800.0;1274.0;60.27;3.0
208;Elektrėnų m., Sodų g.;55800.0;1250.0;44.63;2.0
209;Elektrėnų m., Sodų g.;65800.0;1161.0;56.69;3.0
210;Kaunas, Žaliakalnis, Gražinos g.;123000.0;1593.0;77.21;4.0
211;Šiauliai, Zokniai, Radviliškio g.;72000.0;1241.0;58.0;3.0
212;Vilnius, Naujamiestis, Vasario 16-osios g.;440000.0;4000.0;110.0;4.0
213;Vilkaviškio r. sav., Paežerių k., Dvaro g.;29000.0;517.0;56.07;3.0
214;Alytus, Vidzgiris, Jazminų g.;58000.0;870.0;66.69;3.0
215;Vilnius, Šeškinė, Ukmergės g.;114900.0;2128.0;54.0;2.0
216;Neringos m., Preilos g.;300000.0;6512.0;46.07;2.0
217;Vilnius, Naujoji Vilnia, Pergalės g.;38000.0;2375.0;16.0;1.0
218;Vilnius, Visoriai, Visorių g.;289000.0;2939.0;98.32;3.0
219;Palanga, Palanga, Vaivorykštės g.;239000.0;4476.0;53.4;3.0
220;Palanga, Palanga, Hipodromo g.;195000.0;4875.0;40.0;2.0
221;Palanga, Palanga, Gintaro g.;165500.0;4769.0;34.7;2.0
222;Vilnius, Šnipiškės, Kalvarijų g.;216000.0;2962.0;72.93;3.0
223;Kaunas, Žaliakalnis, Varpo g.;255000.0;3468.0;73.54;3.0
224;Panevėžys, Centras, Ramygalos g.;36000.0;1590.0;22.64;1.0
225;Vilnius, Senamiestis, Rūdninkų g.;700000.0;6542.0;107.0;5.0
226;Vilnius, Antakalnis, Mildos g.;349000.0;3753.0;93.0;3.0
227;Akmenės r. sav., Ventos m., Ventos g.;23900.0;373.0;64.0;4.0
228;Kauno r. sav., Pagynės k., Kikonių g.;30000.0;621.0;48.3;2.0
229;Šilutės m., Eglių g.;62500.0;840.0;74.43;4.0
230;Klaipėda, Senamiestis, Bangų g.;320000.0;5246.0;61.0;3.0
231;Vilnius, Šnipiškės, Tuskulėnų g.;150000.0;3000.0;50.0;2.0
232;Alytus, Senamiestis, Nemuno g.;91000.0;2275.0;40.0;2.0
233;Vilnius, Bajorai, Bajorų kel.;117900.0;3976.0;29.65;1.0
234;Klaipėdos r. sav., Dovilų mstl., Klaipėdos g.;56000.0;973.0;57.57;3.0
235;Palanga, Palanga, Maironio g.;147000.0;2070.0;71.0;2.0
236;Vilkaviškio m., Lauko g.;32000.0;669.0;47.81;2.0
237;Klaipėdos r. sav., Gargždų m., Melioratorių g.;83000.0;1307.0;63.48;2.0
238;Klaipėda, Centras, Taikos pr.;282500.0;4216.0;67.0;2.0
239;Alytus, Putinai, Kalniškės g.;42500.0;1152.0;36.88;1.0
240;Palanga, Šventoji, Mokyklos g.;127000.0;2190.0;58.0;2.0
241;Vilnius, Žirmūnai, Žirmūnų g.;115000.0;2614.0;44.0;2.0
242;Telšių m., Žemaitės g.;42000.0;857.0;49.0;2.0
243;Pasvalio m., Taikos g.;65000.0;910.0;71.41;4.0
244;Skuodo m., Vilniaus g.;42000.0;536.0;78.35;3.0
245;Mažeikių m., Sodų g.;29500.0;968.0;30.48;1.0
246;Šakių m., E. Steponaičio g.;43000.0;778.0;55.29;3.0
247;Kaunas, Vičiūnai, Kiškių g.;220000.0;2588.0;85.0;3.0
248;Vilnius, Pašilaičiai, Perkūnkiemio g.;133000.0;2608.0;51.0;2.0
249;Palanga, Palanga, Brukšvos g.;379000.0;4512.0;84.0;3.0
